panel,record_type,context,regime_or_state,method,share,query,view,value,ci95_low,ci95_high,metric,owning_section,note
b,source_row,RPE1,full_measured,VCDesign-CED minus Base,,CDC5L,0,0.0761764706999728,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,size_controlled,VCDesign-CED minus Base,,CDC5L,0,0.10543419160499323,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,response_unseen,VCDesign-CED minus Base,,CDC5L,0,0.06105939015797235,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,full_measured,VCDesign-CED minus Base,,CDC73,0,0.09243704812145759,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,size_controlled,VCDesign-CED minus Base,,CDC73,0,0.09229944079033137,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,response_unseen,VCDesign-CED minus Base,,CDC73,0,0.1266931542435814,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,full_measured,VCDesign-CED minus Base,,CDK11A,0,-0.1607671737139118,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,size_controlled,VCDesign-CED minus Base,,CDK11A,0,-0.11735153975918243,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,response_unseen,VCDesign-CED minus Base,,CDK11A,0,-0.07737599472528617,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,full_measured,VCDesign-CED minus Base,,CDK2,0,0.016569914467266578,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,size_controlled,VCDesign-CED minus Base,,CDK2,0,0.032279478208661144,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,response_unseen,VCDesign-CED minus Base,,CDK2,0,0.00014815461785505635,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,full_measured,VCDesign-CED minus Base,,CEP85,0,0.0027905031017451815,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,size_controlled,VCDesign-CED minus Base,,CEP85,0,-0.013964012447061476,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,response_unseen,VCDesign-CED minus Base,,CEP85,0,-0.01569373783144045,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,full_measured,VCDesign-CED minus Base,,CFL1,0,-0.06575796159448977,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,size_controlled,VCDesign-CED minus Base,,CFL1,0,-0.0678226120195484,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,response_unseen,VCDesign-CED minus Base,,CFL1,0,-0.0784292023223111,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,full_measured,VCDesign-CED minus Base,,CHCHD2,0,-0.22487337957711634,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,size_controlled,VCDesign-CED minus Base,,CHCHD2,0,-0.23205531245784597,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,response_unseen,VCDesign-CED minus Base,,CHCHD2,0,-0.14966035661426125,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,full_measured,VCDesign-CED minus Base,,CHD4,0,0.025594936510416028,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,size_controlled,VCDesign-CED minus Base,,CHD4,0,0.0436344250703628,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,response_unseen,VCDesign-CED minus Base,,CHD4,0,0.037459598117276394,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,full_measured,VCDesign-CED minus Base,,CHMP6,0,-0.008096119721060446,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,size_controlled,VCDesign-CED minus Base,,CHMP6,0,-0.007809893958362124,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,response_unseen,VCDesign-CED minus Base,,CHMP6,0,-0.013350003082846618,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,full_measured,VCDesign-CED minus Base,,CHTOP,0,-0.03094085916306019,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,size_controlled,VCDesign-CED minus Base,,CHTOP,0,-0.01882756062998403,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,response_unseen,VCDesign-CED minus Base,,CHTOP,0,0.08084557244642554,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,full_measured,VCDesign-CED minus Base,,CLK2,0,-0.1694955364794551,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,size_controlled,VCDesign-CED minus Base,,CLK2,0,-0.1687882789162966,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,response_unseen,VCDesign-CED minus Base,,CLK2,0,-0.08557683881448598,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,full_measured,VCDesign-CED minus Base,,CLNS1A,0,0.03529940920407493,,,paired delta BU@20,sec:context,query-view row
